"Qty";"Value";"Device";"Package";"Parts";"Description";"CURRENT";"ENABLE";"MARKING";"TP_SIGNAL_NAME";
"1";"";"MOSFET-N-X2-SOT363";"SOT363";"Q1";"";"";"";"";"";
"1";"0.05R";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";"";"";"";
"2";"0R";"RESISTORC0402-SMALL";"C0402-SMALL";"R12, R13";"Resistor";"";"";"";"";
"2";"100k";"RESISTORC0402-SMALL";"C0402-SMALL";"R24, R35";"Resistor";"";"";"";"";
"8";"100nF";"C-EUC0402-SMALL";"C0402-SMALL";"C6, C9, C10, C14, C16, C26, C27, C28";"CAPACITOR, European symbol";"";"";"";"";
"3";"10K";"RESISTORC0402-SMALL";"C0402-SMALL";"R23, R31, R33";"Resistor";"";"";"";"";
"7";"10k";"RESISTORC0402-SMALL";"C0402-SMALL";"R3, R6, R7, R14, R21, R28, R29";"Resistor";"";"";"";"";
"1";"10k NTC";"RESISTOR-NTC0402";"C0402-SMALL";"NTC1";"";"";"";"";"";
"7";"10uF";"C-EUC0603";"C0603";"C1, C5, C7, C8, C17, C23, C25";"CAPACITOR, European symbol";"";"";"";"";
"1";"10uF 25V";"C-EUC0603";"C0603";"C18";"CAPACITOR, European symbol";"";"";"";"";
"1";"10uH";"INDUCTOR0603";"0603";"L2";"Inductors";"";"";"";"";
"2";"150R";"RESISTORC0402-SMALL";"C0402-SMALL";"R19, R20";"Resistor";"";"";"";"";
"3";"1M";"RESISTORC0402-SMALL";"C0402-SMALL";"R5, R9, R15";"Resistor";"";"";"";"";
"3";"1k";"RESISTORC0402-SMALL";"C0402-SMALL";"R4, R32, R34";"Resistor";"";"";"";"";
"1";"1uF";"C-EUC0402-SMALL";"C0402-SMALL";"C11";"CAPACITOR, European symbol";"";"";"";"";
"3";"200k";"RESISTORC0402-SMALL";"C0402-SMALL";"R2, R25, R26";"Resistor";"";"";"";"";
"4";"220nF";"C-EUC0402-SMALL";"C0402-SMALL";"C2, C3, C4, C24";"CAPACITOR, European symbol";"";"";"";"";
"1";"30k";"RESISTORC0402-SMALL";"C0402-SMALL";"R10";"Resistor";"";"";"";"";
"1";"330K";"RESISTORC0402-SMALL";"C0402-SMALL";"R16";"Resistor";"";"";"";"";
"1";"330R";"RESISTORC0402-SMALL";"C0402-SMALL";"R8";"Resistor";"";"";"";"";
"3";"4.7uF";"C-EUC0402-SMALL";"C0402-SMALL";"C15, C21, C22";"CAPACITOR, European symbol";"";"";"";"";
"1";"47k";"RESISTORC0402-SMALL";"C0402-SMALL";"R11";"Resistor";"";"";"";"";
"2";"4k7";"RESISTORC0402-SMALL";"C0402-SMALL";"R17, R18";"Resistor";"";"";"";"";
"1";"620k";"RESISTORC0402-SMALL";"C0402-SMALL";"R27";"Resistor";"";"";"";"";
"4";"6pF";"C-EUC0402-SMALL";"C0402-SMALL";"C12, C13, C19, C20";"CAPACITOR, European symbol";"";"";"";"";
"1";"ABM10W160006";"CRYSTAL-GNDABM10W";"ABM10W";"OSC1";"";"";"";"";"";
"1";"ATSAML21G";"ATSAML21G";"QFN48";"IC8";"Atmel®";"";"";"";"";
"1";"CD0603-S01575";"DIODE";"0603-DIODE";"D1";"Diode";"";"";"";"";
"2";"DFE201210U";"INDUCTOR0805";"0805";"L4, L5";"Inductors";"";"";"";"";
"1";"DNF";"RESISTORC0402-SMALL";"C0402-SMALL";"R30";"Resistor";"";"";"";"";
"1";"DNP";"RESISTORC0402-SMALL";"C0402-SMALL";"R22";"Resistor";"";"";"";"";
"1";"Ferite";"INDUCTOR0603";"0603";"L1";"Inductors";"";"";"";"";
"1";"HEADER_1X2-2.54";"HEADER_1X2-2.54";"1X2-2.54MM";"JP5";"";"";"";"";"";
"1";"HEADER_1X2-2MM";"HEADER_1X2-2MM";"1X2_2MM";"JP2";"";"";"";"";"";
